date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:49	13213/13213	U--MC-	200	updated ('OK')	text/html	date:Fri,%2021%20Jul%202023%2005:55:49%20GMT	http://leedaegyu.kr/	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/index.html	(from )
14:55:49	287/287	---M--	302	error ('Found')	text/html	date:Fri,%2021%20Jul%202023%2005:55:49%20GMT	http://leedaegyu.kr/img/web3-modal.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/web3-modal.5.delayed	(from http://leedaegyu.kr/)
14:55:50	107051/107051	U-----	200	untouched ('')	image/jpeg	etag:%22a80953-1a22b-5ff160cafe224%22	http://leedaegyu.kr/img/og-img.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/og-img.jpg	(from http://leedaegyu.kr/)
14:55:50	1130/1130	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:%22a80944-46a-5ff160cab2f04%22	http://leedaegyu.kr/img/favicon.ico	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/favicon.ico	(from http://leedaegyu.kr/)
14:55:50	1068/1068	U-----	200	untouched ('OK')	text/css	etag:%22a8093f-42c-5ff160caa9a94%22	http://leedaegyu.kr/css/reset.css	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/css/reset.css	(from http://leedaegyu.kr/)
14:55:50	27181/27181	U-----	200	untouched ('OK')	text/css	etag:%22a80942-6a2d-5ff160caa4c74%22	http://leedaegyu.kr/css/common.css	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/css/common.css	(from http://leedaegyu.kr/)
14:55:51	18065/18065	U--M-Z	200	updated ('OK')	text/css	etag:W/%224691-p8Uo3JAYru/tmlIzcWjeyyIOL2E%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	C:/My%20Web%20Sites/23%202/ldk/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	(from http://leedaegyu.kr/)
14:55:51	5904/5904	U-----	200	untouched ('')	text/javascript	etag:%22a80971-1710-5ff4584a09c64%22	http://leedaegyu.kr/js/common.js	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/js/common.js	(from http://leedaegyu.kr/)
14:55:51	1691622/1691622	U-----	200	untouched ('')	image/jpeg	etag:%22a8096c-19cfe6-5ff160cb90214%22	http://leedaegyu.kr/img/web2-modal.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/web2-modal.jpg	(from http://leedaegyu.kr/)
14:55:51	1565679/1565679	U-----	200	untouched ('')	image/jpeg	etag:%22a80968-17e3ef-5ff160cb6c3dc%22	http://leedaegyu.kr/img/web1-modal.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/web1-modal.jpg	(from http://leedaegyu.kr/)
14:55:52	1079091/1079091	U-----	200	untouched ('')	image/jpeg	etag:%22a8094a-107733-5ff160cae24d4%22	http://leedaegyu.kr/img/graphic1-modal.jpg	C:/My%20Web%20Sites/23%202/ldk/leedaegyu.kr/img/graphic1-modal.jpg	(from http://leedaegyu.kr/)
